receipt_id,token_in_address,amount_in,token_out_address,transaction_signer,day
8KxhEM6bpEKuR2nfVcnRSvkjbbYB7CskQjCAVBEw5BvY,aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,20000000000000000000,wrap.near,fetus-squid.near,30-08-2022
7S5VSJ3YiS9Z3vLpvnYDsbsx4qnkJmGVe1Dz1wgrTrbM,token.v2.ref-finance.near,107437000000000000000,wrap.near,jreive.near,30-08-2022
98Anh3D26hjKNbHLnhyqGjVtFYhe3PNq2o5tVH1xf2nj,wrap.near,19280924641068006908975879,token.pembrock.near,test_near.near,30-08-2022
H8uEDSksQTFuyioFjfpVAC1UV1EkBT39EM4q2DEu5FTq,token.v2.ref-finance.near,428997000000000000000,wrap.near,jreive.near,30-08-2022
FvUrNac7Pi7RYzp57trDPC5YeSR7dVz99c2JZzhbeBsE,aurora,542378010000300499,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,30-08-2022
EELibr41Q6BByPpw1ATCuDjdftR3FwLLALT9UURis7eZ,aurora,262801664148499550,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
89e9tCEjZLtDs6QYEXTWy2WP3PgqNaFrrrL3Rbstbo8V,f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,430904000000000000000,wrap.near,jreive.near,30-08-2022
5Qcd1V5JCLhVNNorh6M8HA3ZGf1RNvomn3jYYvoiGtfC,token.v2.ref-finance.near,322749000000000000000,wrap.near,jreive.near,30-08-2022
EogGAe4tt2c9WEQWXx3k74sEqKFKw1LNYkycPtKo57Q3,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,1249879089,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
DKo4jvFap8CEDEd3rduWdmVr6MKp9r8ZSh855i1Z96U5,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,624926479,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
3J2suaF9rh641FA4PDgZUTCPgtWc9xDNMESsExg4mS12,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,604652,wrap.near,boobs.zudwa.near,30-08-2022
C7XaCfqE2PEvFWpkNFRukkzT2a9B9HGAq1cwuk4hdBxL,aurora,262418631420446530,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
7H6BwVxbhp43vwpAC9XdK6L6WgpkPe2b9Si3Mgg9UdoW,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,277000000,wrap.near,tylertran.near,30-08-2022
2cZ5m16xEZUDAujqiuPyxpuDGiNMTnjefPittN5ahfkS,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,2499485,wrap.near,resetme.near,30-08-2022
AUxKfbHuLbPVtVBJPmEpo5xrgeBjHMAGeMUhnniUvaYR,aurora,262222456448662980,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
F74po2d9ut2ziWfwfeZ2Uc1jBxKFdMsPNq58v6W5yLah,token.v2.ref-finance.near,107139000000000000000,wrap.near,jreive.near,30-08-2022
5zeSxQqTjr28oMkmxSgJYv2iwQegAWF59AFEKttQFtzw,f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,214908000000000000000,wrap.near,jreive.near,30-08-2022
F59jryCWXB1EbNC72t55Q7LqRb6VeP3WRCWexJSiai1E,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,624326991,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
9Qcv5nkcimpy6CmNystP4UeDtFkc5Q1KUtZ2edXnogjD,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,1248080772,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
8E9EYVDUwd653AxD9ccYbG8fmMcMqNyQhTXnz8nXtLnr,wrap.near,4999999999999938175959040,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,billiondollars.near,30-08-2022
2TyNbCCrc4WNyDXRYC1Fd55XxxKYPhMnHWUUAuvph2a9,aurora,262087356970724100,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
CLY3jRuGMGVZGbpXvLyNm9VdiqmuEk523mhnrFcQKoSs,token.v2.ref-finance.near,213662000000000000000,wrap.near,jreive.near,30-08-2022
38nk6Fgbsv15M1FJTihaX1q2SMBHHFCALn3DmauW7JqE,f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,429752000000000000000,wrap.near,jreive.near,30-08-2022
UKQa68aBLLR4zmxrYCA7o3Z9tTAqXipmhZDWEcsY1AK,token.paras.near,455400000000000000000,wrap.near,paypass.near,30-08-2022
7LcvHX3V1zo6s7dDEpsNDw9Xhubja3Esr61GU6y4Chpi,wrap.near,13558244845550484000000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,30-08-2022
4SzAwTku9NMf8XviEfzn4p2yENJJjB6HAnWFWHocMhNB,aurora,261969781589216740,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
2PzEByrYsZ7gkTDuY7v8eHEn2GigJYcQWo6gY8WqTYeF,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,623128090,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
8cWQc2HWPmervqoExAdV1fbYULthQVz9GmWZ16w99vZ5,aurora,327928809999113141,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,30-08-2022
6FezSJUkfbAywLXNeWYJQ4MJGgWqBFYoXZqJfySCcvBP,token.v2.ref-finance.near,107272000000000000000,wrap.near,jreive.near,30-08-2022
CE3dMYj9RJym4NS7D3FppyfZ85a1idafkuDbmRuKjR12,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,1599840015,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,30-08-2022
DSP2X8AFqRVWuuFjcRMuFh1KTop1sp1ppGK6pDhetcsA,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,622378773,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
GRE53NWraFJAiTRZm4osAP7ZeiSvzqFhxRD6Bcspy7ci,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,1244783659,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,30-08-2022
RpZRdLFGP3QF1MbzD2Rsz2rK7W5JLB72uj6jjHF7hXG,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,2370000000,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,30-08-2022
FjSbDWaKFZNLM6gmg7dhoTtLTq2jAxcYXs1F9EvXiBdQ,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,583563,wrap.near,boobs.zudwa.near,30-08-2022
