token_address, decimals, token_symbol
token.skyward.near,18,SKYWARD
bed4ab0019ff361d83ddeb74883dac8a70f5ea1e.factory.bridge.near,18,MRCH
berryclub.ek.near,18,BANANA
a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,6,USDC
token.v2.ref-finance.near,18,REF
0d8775f648430679a709e98d2b0cb6250d2887ef.factory.bridge.near,18,BAT
288f5c0fc03d073378d004201129bc145a4a82fc.factory.bridge.near,18,GWJ
socialmeet.tkn.near,18,SOCIALMEET
hak.tkn.near,18,HAK
cat.tkn.near,18,CAT
wrap.near,24,wNEAR
de30da39c46104798bb5aa3fe8b9e0e1f348163f.factory.bridge.near,18,GTC
beer.tkn.near,18,BEER
d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,18,HAPI
mrktng.tkn.near,6,MRKTNG
mz.tkn.near,0,mz
avb.tkn.near,18,AVB
nut.tkn.near,18,NUT
marmaj.tkn.near,18,marmaj
neardoge.tkn.near,18,neardoge
6b175474e89094c44da98b954eedeac495271d0f.factory.bridge.near,18,DAI
czdog.tkn.near,18,CZDOG
gza.tkn.near,18,GZA
rekt.tkn.near,18,REKT
meritocracy.tkn.near,18,MERITOCRACY
jbouw.tkn.near,0,JBOUW
token.paras.near,18,PARAS
putt.tkn.near,18,PUTT
wst.tkn.near,18,WST
gachi.tkn.near,18,GACHI
nk.tkn.near,18,NK
boo.tkn.near,18,BOO
aurora,18,ETH
nvp.tkn.near,18,NVP
net.tkn.near,18,Net
c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.factory.bridge.near,18,WETH
nearpunk.tkn.near,18,NEARPUNK
feral.tkn.near,18,FERAL
d3g3n.tkn.near,18,D3G3N
neardog.tkn.near,18,NEARDOG
duck.tkn.near,18,DUCK
nearkat.tkn.near,18,NEARKAT
nd.tkn.near,8,ND
infinity.tkn.near,10,INFINITY
metrop.near,8,METROP
f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,18,OCT
nvc.tkn.near,18,NVC
kvlad.tkn.near,18,KVLAD
mika.tkn.near,18,MIKA
blaze.tkn.near,18,BLAZE
slush.tkn.near,18,SLUSH
farm.berryclub.ek.near,18,CUCUMBER
asc.tkn.near,10,ASC
taliban.tkn.near,18,TALIBAN
groove.tkn.near,18,GROOVE
mbga.tkn.near,18,MBGA
c944e90c64b2c07662a292be6244bdf05cda44a7.factory.bridge.near,18,GRT
magic.tkn.near,18,MAGIC
ntrash.tkn.near,18,nTRASH
ngmi.tkn.near,10,NGMI
lfg.tkn.near,18,LFG
hongdou.tkn.near,18,hongdou
hodl.tkn.near,1,HODL
514910771af9ca656af840dff83e8264ecf986ca.factory.bridge.near,18,LINK
ikenga.tkn.near,24,IKENGA
flct.tkn.near,0,FLCT
shit.tkn.near,18,SHIT
azerotha.near,8,FLA
padthai.near,8,PADTHAI
avrit.near,18,AVRIT
pixiv.tkn.near,18,pixiv
dan.tkn.near,18,dan
111111111117dc0aa78b770fa6a738034120c302.factory.bridge.near,18,1INCH
1f9840a85d5af5bf1d1762f925bdaddc4201f984.factory.bridge.near,18,UNI
cafe.devtest.near,12,CAFE
token.serpius.near,24,SER
testing-token.staderlabs-test.near,24,testing
toes.tkn.near,13,TOES
soultoken.near,6,SOUL
dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,6,USDT
adtoken.near,18,AD
pw.tkn.near,10,PW
meta-pool.near,24,STNEAR
pixeltoken.near,6,PXT
a4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016.factory.bridge.near,18,1MIL
6f259637dcd74c767781e37bc6133cd6a68aa161.factory.bridge.near,18,HT
2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,8,WBTC
indulgency.tkn.near,18,Indulgency
token.cheddar.near,24,Cheddar
52a047ee205701895ee06a375492490ec9c597ce.factory.bridge.near,18,PULSE
damn.tkn.near,18,DAMN
illiapolosukhin.tkn.near,18,IlliaPolosukhin
token.shrm.near,18,SHRM
nearbit.tkn.near,18,NEARBIT
neir.tkn.near,18,NEIR
floki.tkn.near,18,FLOKI
dbio.near,18,DBIO
tipjargon.near,7,TIP
aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,18,AURORA
ter.tkn.near,10,TER
firerune.tkn.near,9,FIRERUNE
ralfusha.tkn.near,18,Ralfusha
lgbt.tkn.near,18,LGBT
bsa.tkn.near,18,BSA
meta-token.near,24,$META
panda.tkn.near,18,PANDA
ctzn.tkn.near,18,CTZN
o.tkn.near,0,O
nvision.tkn.near,18,NVISION
far.tkn.near,8,FAR
v1.dacha-finance.near,18,POTATO
bxf.tkn.near,18,BXF
v3.oin_finance.near,8,nUSDO
9aeb50f542050172359a0e1a25a9933bc8c01259.factory.bridge.near,8,OIN
metacoin.tkn.near,18,METACOIN
bones.tkn.near,18,bones
tckt.tkn.near,18,TCKT
stke.tkn.near,18,STKE
pixel.tkn.near,18,PIXEL
meme.tkn.near,8,MEME
flobo.tkn.near,18,FLOBO
3ea8ea4237344c9931214796d9417af1a1180770.factory.bridge.near,18,FLX
wafi.tkn.near,10,WAFI
xtoken.ref-finance.near,18,xREF
nmeme.tkn.near,18,nMEME
baby.tkn.near,18,baby
kkd.tkn.near,18,KKD
nativo-token.near,24,$NTV
finarix.near,8,FNRIX
myriadcore.near,18,MYRIA
b8919522331c59f5c16bdfaa6a121a6e03a91f62.factory.bridge.near,6,bHOME
tamil.tkn.near,18,TAMIL
zod.near,24,ZOD
skyward-pixeltoken.near,6,sPXT
lucky_nft.near,2,LUCK
whales.tkn.near,4,WHALES
gems.l2e.near,4,GEM
gold.l2e.near,0,GOLD
elixir.l2e.near,0,ELIXIR
shmeks.tkn.near,18,SHMEKS
cheems.tkn.near,18,cheems
frigg.tkn.near,18,frigg
chf.tkn.near,18,CHF
501ace9c35e60f03a2af4d484f49f9b1efde9f40.factory.bridge.near,18,SOLACE
abr.a11bd.near,24,ABR
themunkymonkey.near,8,PSNG
gold.tkn.near,10,GOLD
token.jumbo_exchange.near,18,JUMBO
sol.token.a11bd.near,24,SOL
rimjob.tkn.near,18,RIMJOB
celo.token.a11bd.near,24,CELO
elt.tkn.near,18,ELT
fusotao-token.near,18,TAO
cusd.token.a11bd.near,24,cUSD
token.pnx_test.near,18,PNX
ynp.tkn.near,18,YNP
dogsheng.tkn.near,18,dogsheng
hooba.tkn.near,18,HOOBA
koro.tkn.near,18,KORO
utopia.secretskelliessociety.near,8,UTO
ust.token.a11bd.near,24,UST
kongztoken.near,8,KONGZ
caxap.tkn.near,18,CAXAP
usn,18,USN
ndn.electrik.near,2,ELECTRIK
token.pumpopoly.near,24,PUMPOPOLY
stake.tkn.near,18,Stake
token.bwitter.near,18,BT
newfy-token.near,24,NEWFY
deip-token.near,18,DEIP
ft.soundsplash.near,8,$SPLASH
30d20208d987713f46dfd34ef128bb16c404d10f.factory.bridge.near,18,SD
linear-protocol.near,24,LINEAR
4691937a7508860f876c9c0a2a617e7d9e945d4b.factory.bridge.near,18,WOO
dojos.near,18,DOJO
ft.nekotoken.near,0,NEKO
token.pembrock.near,18,PEM
nexp.near,4,NEXP
0316eb71485b0ab14103307bf65a021042c6d380.factory.bridge.near,18,HBTC
1ab43204a195a0fd37edec621482afd3792ef90b.factory.bridge.near,18,PLY
06a00715e6f92210af9d7680b584931faf71a833.factory.bridge.near,18,XNL
fritz.tkn.near,18,FRITZ
gear.enleap.near,18,GEAR
atocha-token.near,18,ATO
lpbot.near,6,LPB
fud.tkn.near,18,FUD
dcity.tkn.near,18,DCITY
ft.metafoxonry.near,18,MFOX
coin.asac.near,24,$ASAC
csat.tkn.near,18,CSAT
token.burrow.near,18,BRRR
hrt.tkn.near,18,HRT
fradao.tkn.near,18,fradao
obs.openbisea.near,18,OBS
theburningrealm.near,2,TBR
ruct.tkn.near,18,RUCT
token.stlb.near,5,SEAT
ctrl.tkn.near,18,CTRL
nearx.stader-labs.near,24,NearX
test-token.staderlabs-test.near,24,NearX
apys.token.a11bd.near,24,APYS
discovol-token.near,14,DISC
ft.zomland.near,24,ZML
token.sweat,18,SWEAT
